crack_start,crack_tip,load_location,load_condition,bottom_surface_deflections
"(3.51118333429387, 0)","(3.51118333429387, 0.3780555381206433)",[8.21786334 1.        ],[    0 -8729],"[ 0.         -0.00899762 -0.01796725 -0.02688094 -0.03571073 -0.04442868
 -0.05300689 -0.06141735 -0.06963136 -0.07761812 -0.08534224 -0.09276716
 -0.0998851  -0.10678251 -0.11382694 -0.11780611 -0.12088242 -0.12342495
 -0.12555211 -0.12716346 -0.12822094 -0.12870892 -0.12860666 -0.12788864
 -0.12652737 -0.12449484 -0.12176311 -0.11830457 -0.11409199 -0.10909768
 -0.10328947 -0.09662139 -0.08902396 -0.08042025 -0.07079794 -0.06027327
 -0.04902708 -0.03723276 -0.0250402  -0.01258545  0.        ]"
"(7.73748130560312, 0)","(7.73748130560312, 0.21152190794957237)",[6.92966587 1.        ],[    0 -7012],"[ 0.         -0.01004191 -0.02004529 -0.02997162 -0.03978237 -0.04943902
 -0.05890305 -0.06813592 -0.07709911 -0.0857541  -0.09406236 -0.10198536
 -0.10948458 -0.1165215  -0.12305758 -0.12905431 -0.13447315 -0.13927558
 -0.14342307 -0.14687709 -0.14959917 -0.15155096 -0.15269438 -0.15299151
 -0.15240293 -0.15088285 -0.14836703 -0.14475736 -0.14000616 -0.13436473
 -0.12851942 -0.11846782 -0.10702562 -0.09515735 -0.08280877 -0.06987249
 -0.05645063 -0.04265572 -0.0285872  -0.01433845  0.        ]"
"(8.257192137140152, 0)","(8.257192137140152, 0.38122395097750666)",[4.52620092 1.        ],[    0 -2539],"[ 0.         -0.0049794  -0.00993323 -0.01483591 -0.01966187 -0.02438552
 -0.02898131 -0.03342364 -0.03768695 -0.04174566 -0.04557419 -0.04914702
 -0.05243869 -0.05542385 -0.05807699 -0.06037134 -0.06227608 -0.06375357
 -0.06476399 -0.06528632 -0.06533692 -0.06495098 -0.06416148 -0.06299458
 -0.06147246 -0.05961597 -0.05744579 -0.05498242 -0.05224564 -0.04925371
 -0.04602532 -0.0425916  -0.03901849 -0.03547593 -0.03078924 -0.02583423
 -0.02078176 -0.01566727 -0.01048579 -0.00525497  0.        ]"
"(4.964600254342161, 0)","(4.964600254342161, 0.2750764913893394)",[6.16543671 1.        ],[    0 -5751],"[ 0.         -0.01069246 -0.02134543 -0.0319194  -0.04237489 -0.05267238
 -0.0627724  -0.07263543 -0.08222198 -0.0914926  -0.10040787 -0.1089284
 -0.11701468 -0.12462613 -0.13171915 -0.13824208 -0.14413466 -0.14938401
 -0.1541715  -0.1590832  -0.15981888 -0.1591113  -0.15765793 -0.15547091
 -0.15229828 -0.14806546 -0.14276709 -0.13646964 -0.12927504 -0.12127726
 -0.11255391 -0.10317346 -0.09320144 -0.08270318 -0.07174421 -0.06039027
 -0.04870719 -0.03676079 -0.02461691 -0.01234137  0.        ]"
"(7.8708804599701585, 0)","(7.8708804599701585, 0.21561766403932014)",[6.9053179 1.       ],[    0 -6253],"[ 0.         -0.00885136 -0.01766836 -0.02641666 -0.03506188 -0.04356969
 -0.05190572 -0.06003561 -0.06792502 -0.07553958 -0.08284495 -0.08980676
 -0.09639067 -0.1025623  -0.10828732 -0.11353136 -0.11826007 -0.12243909
 -0.12603406 -0.12901062 -0.13133444 -0.13297128 -0.13388714 -0.13404831
 -0.13342061 -0.13196577 -0.12963345 -0.12635052 -0.12202648 -0.11666437
 -0.11055857 -0.10429557 -0.09469149 -0.08400076 -0.07299168 -0.06161943
 -0.0498075  -0.03764603 -0.02523327 -0.01265697  0.        ]"
"(8.177575723695893, 0)","(8.177575723695893, 0.4923266790238928)",[4.88871454 1.        ],[    0 -1638],"[ 0.         -0.00325444 -0.00649387 -0.00970331 -0.01286775 -0.0159722
 -0.01900165 -0.0219411  -0.02477556 -0.02749002 -0.03006949 -0.03249896
 -0.03476344 -0.03684796 -0.03873759 -0.04041748 -0.04187269 -0.04308741
 -0.04404329 -0.04471753 -0.04508595 -0.04513648 -0.0448812  -0.0443443
 -0.0435486  -0.04251241 -0.04125128 -0.03977924 -0.03810922 -0.03625513
 -0.03424014 -0.03211366 -0.03003421 -0.02671962 -0.0231249  -0.01940774
 -0.01562312 -0.01177543 -0.00787728 -0.00394652  0.        ]"
"(7.123756794953362, 0)","(7.123756794953362, 0.47423535543872913)",[3.5550655 1.       ],[    0 -5225],"[ 0.         -0.01086158 -0.02166095 -0.03233593 -0.0428243  -0.05306386
 -0.06299244 -0.0725479  -0.0816683  -0.0902919  -0.09835666 -0.10579787
 -0.11254257 -0.11850372 -0.12358981 -0.12774801 -0.13100245 -0.13341592
 -0.13504678 -0.13593934 -0.13612966 -0.13565094 -0.13453538 -0.13281318
 -0.13051129 -0.1276592  -0.12431681 -0.1206313  -0.11711382 -0.10944634
 -0.10079968 -0.09168145 -0.08228488 -0.07260964 -0.06268138 -0.05254338
 -0.04223557 -0.03179364 -0.02125146 -0.01064245  0.        ]"
"(4.083619657693085, 0)","(4.083619657693085, 0.1358600979391029)",[7.57323965 1.        ],[    0 -4710],"[ 0.         -0.00570607 -0.01139057 -0.01703194 -0.02260861 -0.02809903
 -0.03348163 -0.03873486 -0.04383719 -0.04876706 -0.05350282 -0.05802185
 -0.06230113 -0.06631258 -0.07002261 -0.07350241 -0.07686383 -0.07927622
 -0.08112049 -0.08271816 -0.08393311 -0.08469605 -0.08499899 -0.08482452
 -0.08415356 -0.08296571 -0.08123967 -0.07895159 -0.07607018 -0.07255146
 -0.06834744 -0.06344501 -0.05790041 -0.05180475 -0.04524513 -0.03829594
 -0.03102414 -0.02349427 -0.01577061 -0.00791765  0.        ]"
"(3.418480247718553, 0)","(3.418480247718553, 0.196695822528706)",[4.56163916 1.        ],[    0 -8171],"[ 0.         -0.01696778 -0.03385326 -0.05057417 -0.06704826 -0.08319335
 -0.0989272  -0.1141667  -0.12882563 -0.142813   -0.15601677 -0.1683507
 -0.18002086 -0.19157475 -0.19926632 -0.20506348 -0.20997195 -0.21366317
 -0.21578081 -0.21629165 -0.21527093 -0.21284137 -0.20911275 -0.2041699
 -0.198084   -0.19092199 -0.18275042 -0.17363623 -0.16364662 -0.15284892
 -0.14131047 -0.12909861 -0.11628069 -0.10292406 -0.08909604 -0.07486398
 -0.06029523 -0.04545711 -0.03041697 -0.01524216  0.        ]"
"(4.224429461638811, 0)","(4.224429461638811, 0.3186121191880205)",[4.98106061 1.        ],[    0 -7095],"[ 0.         -0.0164029  -0.03274084 -0.04894883 -0.06496191 -0.08071513
 -0.09614355 -0.11118234 -0.12576671 -0.13983159 -0.15331032 -0.16613109
 -0.17821001 -0.18945612 -0.19985202 -0.20964216 -0.2197291  -0.22288474
 -0.22384539 -0.22353879 -0.22210281 -0.21925    -0.21501376 -0.20953297
 -0.20292413 -0.1952729  -0.18664894 -0.17711688 -0.16674083 -0.15558531
 -0.14371514 -0.13119526 -0.11809065 -0.10446628 -0.09038713 -0.07591816
 -0.06112434 -0.04607065 -0.03082205 -0.01544351  0.        ]"
"(5.184865252148544, 0)","(5.184865252148544, 0.1499167709988602)",[2.17177172 1.        ],[    0 -2502],"[ 0.         -0.00400635 -0.00797723 -0.01187725 -0.01567111 -0.01932338
 -0.02279735 -0.02605235 -0.02904097 -0.03171366 -0.03403941 -0.03602405
 -0.03769193 -0.03906527 -0.04015948 -0.04098542 -0.0415526  -0.04186705
 -0.04193197 -0.04182072 -0.04160499 -0.04082376 -0.03973936 -0.03855589
 -0.03721125 -0.03569014 -0.03401038 -0.03218457 -0.03022429 -0.02814026
 -0.02594286 -0.0236424  -0.02124915 -0.01877343 -0.01622554 -0.01361579
 -0.0109545  -0.00825196 -0.00551849 -0.0027644   0.        ]"
"(2.3928546616811297, 0)","(2.3928546616811297, 0.1549028773073733)",[5.12852144 1.        ],[    0 -9989],"[ 0.         -0.01941033 -0.0387339  -0.05788328 -0.07676876 -0.09529696
 -0.11335951 -0.1308647  -0.14792992 -0.16494503 -0.1791383  -0.1919032
 -0.20397168 -0.21511595 -0.22507832 -0.23379794 -0.24120561 -0.24722184
 -0.25175762 -0.25470595 -0.25593237 -0.25529388 -0.25272142 -0.24829313
 -0.24216104 -0.23446871 -0.22533276 -0.21485403 -0.20312826 -0.19025059
 -0.17631661 -0.16142221 -0.1456634  -0.12913623 -0.11193676 -0.09416103
 -0.07590508 -0.05726496 -0.03833672 -0.01921638  0.        ]"
"(8.123754312798841, 0)","(8.123754312798841, 0.23557939406690181)",[7.36518741 1.        ],[    0 -8234],"[ 0.         -0.01078436 -0.02152724 -0.03218719 -0.04272273 -0.05309238
 -0.0632547  -0.07316819 -0.0827914  -0.09208285 -0.10100108 -0.10950461
 -0.11755198 -0.12510171 -0.13211234 -0.1385424  -0.14435041 -0.14949491
 -0.15393443 -0.15762748 -0.1605326  -0.16260834 -0.16381338 -0.16410673
 -0.16344773 -0.16179517 -0.15910251 -0.15530755 -0.15031871 -0.14402282
 -0.13642613 -0.12789854 -0.11916194 -0.10636912 -0.09228171 -0.07783959
 -0.06299201 -0.04766037 -0.03196592 -0.01603965  0.        ]"
"(4.995487879021719, 0)","(4.995487879021719, 0.4402037404548379)",[3.1148051 1.       ],[    0 -1203],"[ 0.         -0.0027079  -0.00540038 -0.00806201 -0.01067738 -0.01323107
 -0.01570773 -0.01809204 -0.02036861 -0.02252146 -0.02453269 -0.02638119
 -0.02804476 -0.02950985 -0.03077985 -0.03186562 -0.03277749 -0.0335334
 -0.03418105 -0.03487973 -0.03432257 -0.03345116 -0.03242262 -0.03129008
 -0.03004147 -0.02867998 -0.02721603 -0.02565864 -0.02401524 -0.0222926
 -0.02049731 -0.01863595 -0.0167151  -0.01474138 -0.0127214  -0.01066175
 -0.00856906 -0.00644993 -0.00431097 -0.00215879  0.        ]"
"(3.9636483272002176, 0)","(3.9636483272002176, 0.27361051611588355)",[6.13726136 1.        ],[    0 -1997],"[ 0.         -0.00368612 -0.00735852 -0.0110035  -0.01460733 -0.01815631
 -0.02163674 -0.02503495 -0.02833722 -0.03152953 -0.03459704 -0.03752272
 -0.04028709 -0.04288346 -0.04535832 -0.04787016 -0.04923749 -0.05020315
 -0.05095686 -0.051505   -0.05178284 -0.05177595 -0.05147622 -0.05086886
 -0.04993172 -0.0486401  -0.04698385 -0.04498221 -0.04266922 -0.04007722
 -0.03723319 -0.03416094 -0.03088326 -0.02742285 -0.02380246 -0.02004492
 -0.01617309 -0.01220982 -0.00817798 -0.00410042  0.        ]"
"(3.4878285598358665, 0)","(3.4878285598358665, 0.23846236396268233)",[8.31249055 1.        ],[    0 -3515],"[ 0.         -0.00322796 -0.00644467 -0.00963884 -0.01279924 -0.01591461
 -0.0189737  -0.02196507 -0.02487682 -0.02769581 -0.03040646 -0.03300007
 -0.03550663 -0.03802176 -0.03987059 -0.04144723 -0.04288866 -0.04417746
 -0.04526601 -0.04614519 -0.04680789 -0.04724457 -0.04744461 -0.04739685
 -0.04709002 -0.04651284 -0.04565409 -0.04450266 -0.04304759 -0.04127773
 -0.03918013 -0.03673628 -0.03391819 -0.0306949  -0.02706144 -0.02306461
 -0.01877724 -0.01426915 -0.0096007  -0.00482667  0.        ]"
"(7.4625070736643755, 0)","(7.4625070736643755, 0.2853750160989802)",[3.23383251 1.        ],[    0 -4936],"[ 0.         -0.00935586 -0.01865071 -0.0278235  -0.03681324 -0.0455589
 -0.05399955 -0.0620744  -0.06972286 -0.07688407 -0.08349465 -0.0894834
 -0.09476583 -0.09925325 -0.10289348 -0.10570705 -0.10775103 -0.10907826
 -0.1097283  -0.10973291 -0.10912135 -0.1079226  -0.10616579 -0.10387973
 -0.10109202 -0.09782684 -0.09410536 -0.08997309 -0.08555904 -0.08115036
 -0.07493473 -0.06818984 -0.0612533  -0.05413986 -0.0468061  -0.03928062
 -0.03160219 -0.02380453 -0.01591854 -0.00797392  0.        ]"
"(7.159609389552892, 0)","(7.159609389552892, 0.2661434894467311)",[5.14386467 1.        ],[    0 -1245],"[ 0.         -0.00242263 -0.00483444 -0.00722458 -0.00958223 -0.01189655
 -0.01415673 -0.01635192 -0.0184713  -0.02050404 -0.02243929 -0.02426625
 -0.02597406 -0.02755192 -0.02898899 -0.03027452 -0.03139777 -0.03234797
 -0.03311369 -0.03368154 -0.0340348  -0.03415564 -0.03403525 -0.03368258
 -0.03311427 -0.03234455 -0.031395   -0.03032238 -0.02925342 -0.02738164
 -0.02527246 -0.02307507 -0.02079592 -0.01841446 -0.01594231 -0.01339564
 -0.01078835 -0.00813309 -0.00544197 -0.00272696  0.        ]"
"(3.0697163166509562, 0)","(3.0697163166509562, 0.4993382485296756)",[4.92774362 1.        ],[    0 -3436],"[ 0.         -0.00904812 -0.0180648  -0.02701861 -0.03587817 -0.04461194
 -0.05318776 -0.06157143 -0.06972511 -0.0776116  -0.0852201  -0.09262005
 -0.10021744 -0.10386708 -0.10644337 -0.10834612 -0.10979112 -0.11071997
 -0.11108696 -0.11085435 -0.10997792 -0.10843457 -0.10624994 -0.10347468
 -0.1001565  -0.09633389 -0.09203996 -0.08730606 -0.08216334 -0.07664312
 -0.0707768  -0.06459583 -0.0581317  -0.05141585 -0.04447975 -0.03735488
 -0.03007268 -0.02266464 -0.0151622  -0.00759683  0.        ]"
"(2.384492464679683, 0)","(2.384492464679683, 0.21488938492544502)",[2.79201477 1.        ],[    0 -3605],"[ 0.         -0.00717675 -0.01430571 -0.02133857 -0.02822561 -0.03491359
 -0.04134215 -0.04746947 -0.05336538 -0.05930386 -0.0632398  -0.06630211
 -0.06889032 -0.07100825 -0.07258394 -0.07365911 -0.07427194 -0.07444753
 -0.07420585 -0.07356513 -0.07254331 -0.07115842 -0.06942858 -0.06737192
 -0.06500661 -0.0623508  -0.05942264 -0.0562403  -0.05282193 -0.04918569
 -0.04534973 -0.0413322  -0.03715128 -0.0328251  -0.02837183 -0.02380962
 -0.01915663 -0.01443102 -0.00965094 -0.00483455  0.        ]"
"(8.041777724967554, 0)","(8.041777724967554, 0.4904109888172343)",[3.96243386 1.        ],[    0 -7271],"[ 0.         -0.01461995 -0.02916    -0.04354026 -0.05768083 -0.0715018
 -0.08492328 -0.09786537 -0.11024819 -0.12199195 -0.13301709 -0.14324436
 -0.15259409 -0.1609829  -0.1683159  -0.17447863 -0.17935041 -0.18286437
 -0.18506076 -0.18603361 -0.18587075 -0.18464044 -0.18239946 -0.17920089
 -0.17509741 -0.17014181 -0.16438634 -0.15788098 -0.15067221 -0.14280966
 -0.13437573 -0.12554592 -0.11688309 -0.10383411 -0.08979032 -0.07531175
 -0.06059361 -0.04565148 -0.0305302  -0.01529308  0.        ]"
"(2.6085183946098796, 0)","(2.6085183946098796, 0.16323172820571932)",[1.58587066 1.        ],[    0 -7117],"[ 0.         -0.00935289 -0.01859594 -0.02761532 -0.03628521 -0.04445887
 -0.05198113 -0.0587369  -0.06473569 -0.07021156 -0.07551859 -0.07869623
 -0.08095182 -0.08288159 -0.08436184 -0.08529761 -0.08572613 -0.08567849
 -0.08517914 -0.08424951 -0.08290945 -0.0811785  -0.07907612 -0.07662183
 -0.07383517 -0.07073569 -0.06734295 -0.06367648 -0.05975585 -0.05560061
 -0.0512303  -0.04666448 -0.0419227  -0.03702451 -0.03198946 -0.0268371
 -0.02158699 -0.01625867 -0.0108717  -0.00544562  0.        ]"
"(8.325465213756186, 0)","(8.325465213756186, 0.1104421239027388)",[1.55023819 1.        ],[    0 -3165],"[ 0.         -0.00380618 -0.00756347 -0.01122123 -0.01472371 -0.01800661
 -0.02100291 -0.023669   -0.02600791 -0.02804608 -0.02980725 -0.03130664
 -0.03255447 -0.03355933 -0.03432964 -0.03487393 -0.03520087 -0.03531912
 -0.0352374  -0.03496439 -0.0345088  -0.03387932 -0.03308463 -0.03213345
 -0.03103446 -0.02979637 -0.02842786 -0.02693762 -0.02533416 -0.02362597
 -0.02182053 -0.0199245  -0.01796708 -0.0159706  -0.01380761 -0.01156399
 -0.0093029  -0.00701068 -0.00468918 -0.00234917  0.        ]"
"(2.355745368353781, 0)","(2.355745368353781, 0.40216470544036736)",[1.71193052 1.        ],[    0 -7699],"[ 0.         -0.01494248 -0.02976965 -0.0443641  -0.05859995 -0.07233118
 -0.08539271 -0.09767186 -0.10929214 -0.12113289 -0.12592756 -0.12894467
 -0.1310549  -0.13255771 -0.13337445 -0.13351024 -0.13301068 -0.13191386
 -0.13024906 -0.12804181 -0.12531669 -0.1220982  -0.11841091 -0.11427947
 -0.10972855 -0.10478284 -0.09946699 -0.0938057  -0.08782362 -0.08154545
 -0.07499586 -0.06819951 -0.06118109 -0.05396526 -0.04657672 -0.03904012
 -0.03138014 -0.02362147 -0.01578877 -0.00790672  0.        ]"
"(5.505213969393529, 0)","(5.505213969393529, 0.24664946444643016)",[7.93951043 1.        ],[    0 -3250],"[ 0.         -0.00341156 -0.00681123 -0.01018708 -0.01352722 -0.01681974
 -0.02005274 -0.02321432 -0.02629257 -0.02927558 -0.03215146 -0.0349083
 -0.0375342  -0.04001728 -0.04234568 -0.04450749 -0.04649051 -0.04828168
 -0.04986579 -0.05122323 -0.05234748 -0.05330161 -0.05426122 -0.05402812
 -0.05332379 -0.0523985  -0.05122401 -0.04972514 -0.04789387 -0.04572405
 -0.0432001  -0.04029577 -0.03698117 -0.03325019 -0.02914459 -0.02473017
 -0.02007001 -0.01521842 -0.01022458 -0.005136    0.        ]"
"(4.771929836615142, 0)","(4.771929836615142, 0.4974489526414656)",[7.49038114 1.        ],[    0 -2477],"[ 0.         -0.00398553 -0.00795972 -0.01191123 -0.01582872 -0.01970084
 -0.02351625 -0.02726362 -0.03093161 -0.03450888 -0.03798412 -0.04134602
 -0.0445832  -0.04768392 -0.05063525 -0.05342225 -0.05603051 -0.05846093
 -0.06076037 -0.06316833 -0.06332834 -0.06289182 -0.06209488 -0.06105709
 -0.0597521  -0.05816467 -0.0562892  -0.05411682 -0.05163233 -0.04881281
 -0.04563298 -0.04208588 -0.03820107 -0.03402647 -0.02960786 -0.02498437
 -0.02019122 -0.01526236 -0.01023158 -0.0051328   0.        ]"
"(4.068474389885996, 0)","(4.068474389885996, 0.36665950377079737)",[8.05355937 1.        ],[    0 -4640],"[ 0.         -0.00547358 -0.01093017 -0.01635277 -0.02172438 -0.02702801
 -0.03224668 -0.03736342 -0.0423613  -0.04722327 -0.05193187 -0.0564681
 -0.06080986 -0.06493425 -0.0688385  -0.07258524 -0.07643216 -0.07815109
 -0.07924855 -0.07998331 -0.08043691 -0.08054212 -0.080275   -0.07962708
 -0.07858638 -0.07713767 -0.07526451 -0.07295028 -0.07017806 -0.06692861
 -0.06317535 -0.05887922 -0.05399721 -0.04852063 -0.04250916 -0.03605679
 -0.02925357 -0.02217705 -0.01489743 -0.00748256  0.        ]"
"(8.394506258061119, 0)","(8.394506258061119, 0.465588037036619)",[6.03637393 1.        ],[    0 -7673],"[ 0.         -0.01364608 -0.02723595 -0.04071339 -0.05402221 -0.0671062
 -0.07990913 -0.0923748  -0.10444701 -0.11606954 -0.12718619 -0.13774074
 -0.14767698 -0.1569387  -0.1654697  -0.17321374 -0.18011465 -0.18611632
 -0.19116292 -0.19519891 -0.19816831 -0.20001124 -0.20065569 -0.20000898
 -0.19797195 -0.19450222 -0.18967017 -0.18360184 -0.17641351 -0.16819596
 -0.15903247 -0.14904816 -0.13849694 -0.12817045 -0.11177725 -0.09403188
 -0.07572295 -0.05711509 -0.03823923 -0.01916794  0.        ]"
"(5.8979487736138, 0)","(5.8979487736138, 0.23979251167210558)",[7.03273671 1.        ],[    0 -4576],"[ 0.         -0.00686036 -0.01369557 -0.0204805  -0.02719001 -0.03379895
 -0.04028218 -0.04661457 -0.05277096 -0.05872622 -0.0644552  -0.06993277
 -0.07513378 -0.08003312 -0.08460568 -0.08882642 -0.09267019 -0.09611119
 -0.09912172 -0.10166933 -0.10371186 -0.10523621 -0.10638335 -0.1075421
 -0.10606665 -0.10355082 -0.10053881 -0.09694702 -0.09258424 -0.08744194
 -0.08158668 -0.07510948 -0.06809323 -0.06060652 -0.05271016 -0.04446258
 -0.03592199 -0.02714682 -0.01819566 -0.00912716  0.        ]"
"(4.7918676973313294, 0)","(4.7918676973313294, 0.11153530704137443)",[7.23723829 1.        ],[    0 -3672],"[ 0.         -0.00483537 -0.00965225 -0.01443214 -0.01915654 -0.02380698
 -0.02836494 -0.03281195 -0.0371295  -0.0412991  -0.04530229 -0.0491206
 -0.05273553 -0.05612851 -0.05927997 -0.06216996 -0.06477332 -0.06705935
 -0.06910513 -0.07102532 -0.07197929 -0.07236014 -0.07249714 -0.07225471
 -0.07156653 -0.07042794 -0.06882283 -0.06672742 -0.06410651 -0.06092115
 -0.0571594  -0.0528634  -0.04810248 -0.04294286 -0.03744087 -0.031647
 -0.02560991 -0.01937804 -0.01299995 -0.00652435  0.        ]"
"(3.859854096045055, 0)","(3.859854096045055, 0.4774599110755257)",[4.24164604 1.        ],[    0 -3429],"[ 0.         -0.0099437  -0.0198513  -0.02968667 -0.03941372 -0.04899636
 -0.05839855 -0.06758427 -0.0765173  -0.08516056 -0.09347401 -0.10141257
 -0.10893233 -0.11602708 -0.12280449 -0.12985896 -0.13121082 -0.13099934
 -0.12981119 -0.12801184 -0.1256107  -0.12264066 -0.11914986 -0.115176
 -0.11074877 -0.10589507 -0.10064131 -0.09501398 -0.0890397  -0.08274514
 -0.07615699 -0.06930195 -0.06220669 -0.05489792 -0.04740233 -0.03974659
 -0.03195741 -0.02406147 -0.01608547 -0.00805608  0.        ]"
"(3.077900310085125, 0)","(3.077900310085125, 0.4989825861346037)",[3.29893853 1.        ],[    0 -9956],"[ 0.         -0.02851559 -0.05690818 -0.08505486 -0.1128328  -0.14011873
 -0.16678704 -0.19270453 -0.21772437 -0.24170109 -0.26458479 -0.28662212
 -0.30938482 -0.31668434 -0.31972223 -0.32020223 -0.31917769 -0.31666171
 -0.31270716 -0.30741679 -0.30087468 -0.29314763 -0.28429575 -0.27437783
 -0.26345271 -0.2515795  -0.2388174  -0.22522566 -0.21086356 -0.19579035
 -0.18006529 -0.16374764 -0.14689666 -0.12957161 -0.11183174 -0.09373633
 -0.07534461 -0.05671587 -0.03790934 -0.0189843   0.        ]"
"(7.128876744940593, 0)","(7.128876744940593, 0.20124925587662973)",[2.14085036 1.        ],[    0 -7279],"[ 0.         -0.01159301 -0.02308284 -0.0343665  -0.04534133 -0.05590423
 -0.0659484  -0.07535553 -0.08398768 -0.09170072 -0.0984044  -0.10411565
 -0.10890529 -0.11283793 -0.11595856 -0.11830066 -0.11989401 -0.12076795
 -0.12095215 -0.12047652 -0.1193711  -0.11766586 -0.11539037 -0.11257307
 -0.10923947 -0.1054091  -0.10112382 -0.09652354 -0.09187542 -0.08558146
 -0.07872683 -0.07168551 -0.06443382 -0.05692242 -0.04918638 -0.04126493
 -0.03319192 -0.02499877 -0.01671576 -0.00837286  0.        ]"
"(1.5128419836461673, 0)","(1.5128419836461673, 0.49903001223736443)",[1.80007961 1.        ],[    0 -4898],"[ 0.         -0.01040192 -0.02071987 -0.0308713  -0.04080028 -0.05053579
 -0.06050366 -0.06578977 -0.06969238 -0.07270521 -0.07520512 -0.07720785
 -0.07873142 -0.07980592 -0.08045465 -0.08069545 -0.08054418 -0.08001635
 -0.07912753 -0.07789337 -0.07632955 -0.07445177 -0.07227572 -0.06981712
 -0.06709164 -0.064115   -0.0609029  -0.05747102 -0.05383507 -0.05001074
 -0.04601374 -0.04185975 -0.03756449 -0.03314364 -0.02861291 -0.02398799
 -0.01928458 -0.01451838 -0.00970508 -0.00486039  0.        ]"
"(8.158501321380104, 0)","(8.158501321380104, 0.47719324215242637)",[2.33339317 1.        ],[    0 -1330],"[ 0.         -0.00214374 -0.00426862 -0.00635583 -0.00838661 -0.01034213
 -0.01220287 -0.0139472  -0.01554994 -0.01698474 -0.01823511 -0.01930414
 -0.02020478 -0.02094884 -0.02154452 -0.02199795 -0.02231458 -0.02249975
 -0.0225589  -0.02249747 -0.02232096 -0.02203483 -0.02164457 -0.02115568
 -0.02057363 -0.01990389 -0.01915185 -0.01832265 -0.01742108 -0.01645224
 -0.01542461 -0.01435625 -0.01330507 -0.01180259 -0.01019776 -0.00854819
 -0.00687397 -0.0051767  -0.003461   -0.00173338  0.        ]"
"(4.742719650478029, 0)","(4.742719650478029, 0.3096612352857186)",[3.38652247 1.        ],[    0 -5326],"[ 0.         -0.0119715  -0.02387959 -0.03566088 -0.04725196 -0.05858942
 -0.06960988 -0.08025002 -0.09044673 -0.10013716 -0.10925819 -0.11774378
 -0.12551824 -0.13248787 -0.13854581 -0.14362155 -0.14778185 -0.15132016
 -0.15498742 -0.15363644 -0.15088579 -0.14750578 -0.14361115 -0.1390745
 -0.13391767 -0.12819788 -0.12196134 -0.11524631 -0.10808781 -0.1005199
 -0.09257658 -0.08429189 -0.07569995 -0.0668349  -0.05773087 -0.048422
 -0.03894244 -0.02932631 -0.01960778 -0.00982096  0.        ]"
"(3.6306032209863925, 0)","(3.6306032209863925, 0.3921253148393016)",[8.47905085 1.        ],[    0 -9333],"[ 0.         -0.00830144 -0.01657724 -0.02480176 -0.03294939 -0.04099453
 -0.04891161 -0.05667494 -0.06425825 -0.07163328 -0.07876762 -0.08562776
 -0.09220656 -0.09858327 -0.1050947  -0.10879697 -0.11167181 -0.11405747
 -0.11606247 -0.11759474 -0.11861942 -0.11912218 -0.11908402 -0.11848155
 -0.11728957 -0.11548239 -0.11303431 -0.10991979 -0.10611361 -0.10159095
 -0.09632647 -0.09029006 -0.08343683 -0.07569678 -0.06699193 -0.05731337
 -0.04678967 -0.03561845 -0.02398935 -0.01206676  0.        ]"
"(7.691404369553918, 0)","(7.691404369553918, 0.11256051983579032)",[7.72011802 1.        ],[    0 -5152],"[ 0.         -0.00562029 -0.01121936 -0.01677597 -0.02226888 -0.02767688
 -0.03297873 -0.0381532  -0.04317906 -0.04803509 -0.05270005 -0.05715271
 -0.06137184 -0.06533622 -0.06902461 -0.07241579 -0.07548852 -0.07822158
 -0.08059373 -0.08258374 -0.0841704  -0.0853325  -0.08604887 -0.08629828
 -0.08605944 -0.08530941 -0.0840249  -0.08217268 -0.07970729 -0.07677484
 -0.07356521 -0.06852899 -0.06243024 -0.05594564 -0.04895903 -0.04148463
 -0.03363033 -0.02547901 -0.01710766 -0.0085903   0.        ]"
"(2.51903390369253, 0)","(2.51903390369253, 0.1684904674892481)",[5.74059993 1.        ],[    0 -9247],"[ 0.         -0.01700972 -0.0339476  -0.05074172 -0.06731957 -0.08360656
 -0.0995248  -0.11498246 -0.12990372 -0.14440642 -0.15885223 -0.17070074
 -0.18124859 -0.1911738  -0.2002714  -0.20831342 -0.21525145 -0.22102932
 -0.22558235 -0.22884132 -0.23073025 -0.23115807 -0.23000872 -0.22715833
 -0.2225515  -0.21626901 -0.2084601  -0.19926611 -0.18880349 -0.17717403
 -0.16447484 -0.15080246 -0.13625385 -0.12092623 -0.10491696 -0.08832342
 -0.071243   -0.05377306 -0.036011   -0.01805419  0.        ]"
"(6.810346742650442, 0)","(6.810346742650442, 0.29773507000990207)",[3.83735165 1.        ],[    0 -5148],"[ 0.         -0.01028822 -0.02051752 -0.03062896 -0.04056363 -0.05026259
 -0.05966691 -0.06871768 -0.07735606 -0.08552336 -0.0931611  -0.10021053
 -0.10661025 -0.11229073 -0.11716855 -0.12115593 -0.12420317 -0.12633642
 -0.12761995 -0.12811365 -0.12786346 -0.12690651 -0.12527549 -0.12299787
 -0.120097   -0.11663046 -0.11277462 -0.10893309 -0.10252282 -0.095347
 -0.08788077 -0.0801445  -0.07206904 -0.06368858 -0.05505196 -0.04620074
 -0.03717247 -0.02800295 -0.01872751 -0.00938143  0.        ]"
