crack_start,crack_tip,load_location,load_condition,bottom_surface_deflections
"(1.9114613891751693, 0)","(1.9114613891751693, 0.1669490654707091)",[1.53116166 1.        ],[    0 -3679],"[ 0.         -0.00492982 -0.00980136 -0.01455315 -0.0191112  -0.02340051
 -0.02743473 -0.03136121 -0.03402557 -0.03613134 -0.03803775 -0.03968521
 -0.04101932 -0.04206032 -0.04282467 -0.04332515 -0.04357287 -0.04357812
 -0.04335098 -0.04290152 -0.04223983 -0.04137601 -0.04032016 -0.03908239
 -0.03767281 -0.03610153 -0.03437864 -0.03251426 -0.0305185  -0.02840145
 -0.02617323 -0.02384395 -0.0214237  -0.01892261 -0.01635076 -0.01371828
 -0.01103526 -0.00831182 -0.00555806 -0.00278408  0.        ]"
"(5.692311947135254, 0)","(5.692311947135254, 0.363193264394539)",[5.672926 1.      ],[    0 -3321],"[ 0.         -0.00736103 -0.01469622 -0.02197971 -0.02918565 -0.03628819
 -0.04326149 -0.0500797  -0.05671696 -0.06314743 -0.06934525 -0.0752846
 -0.08093963 -0.08628458 -0.09129369 -0.09594104 -0.10019982 -0.10404022
 -0.10742609 -0.11031978 -0.11272378 -0.1147711  -0.11700585 -0.11476527
 -0.11122615 -0.10698772 -0.10228645 -0.09707028 -0.09136695 -0.08523046
 -0.07870591 -0.07183145 -0.06464259 -0.05717419 -0.04946107 -0.04153814
 -0.03344035 -0.02520266 -0.01686006 -0.00844752  0.        ]"
"(6.7719682857714485, 0)","(6.7719682857714485, 0.14469322573002202)",[6.28566614 1.        ],[    0 -6548],"[ 0.         -0.01079589 -0.0215468  -0.03220777 -0.04273384 -0.05308002
 -0.06320135 -0.07305286 -0.08258958 -0.09176654 -0.10053876 -0.10886128
 -0.11668913 -0.12397733 -0.13068092 -0.13675492 -0.14215435 -0.14683428
 -0.15074988 -0.15385659 -0.15610997 -0.15746508 -0.15787066 -0.15726496
 -0.15555229 -0.15261791 -0.1487372  -0.14425207 -0.13702593 -0.12839055
 -0.11934486 -0.10961549 -0.09915863 -0.08808385 -0.07647651 -0.06441737
 -0.05198335 -0.0392497  -0.02629134 -0.01318314  0.        ]"
"(6.654559021133923, 0)","(6.654559021133923, 0.25589409272111036)",[2.24524573 1.        ],[    0 -7247],"[ 0.         -0.0117913  -0.02347986 -0.03496317 -0.046139   -0.05690471
 -0.06715398 -0.076769   -0.08561245 -0.09354084 -0.1004643  -0.10639969
 -0.11141753 -0.11558212 -0.11893828 -0.12151934 -0.12335495 -0.12447438
 -0.12490722 -0.12468317 -0.12383147 -0.12237968 -0.12035094 -0.11776436
 -0.11466985 -0.11122535 -0.10779624 -0.10203099 -0.0955648  -0.08882807
 -0.08183912 -0.07453239 -0.06693668 -0.05909416 -0.05104035 -0.0428071
 -0.03442471 -0.025923   -0.01733176 -0.00868081  0.        ]"
"(5.8377695590658, 0)","(5.8377695590658, 0.49787366026825053)",[8.08605553 1.        ],[    0 -9758],"[ 0.         -0.01267049 -0.02530524 -0.0378685  -0.05032454 -0.06263761
 -0.07477197 -0.08669188 -0.0983616  -0.10974538 -0.12080749 -0.13151217
 -0.14182371 -0.15170639 -0.16112458 -0.17004265 -0.17842471 -0.18623348
 -0.19342713 -0.19995625 -0.20577362 -0.21089066 -0.21549438 -0.22050736
 -0.21695039 -0.21113615 -0.20397519 -0.1959202  -0.18687731 -0.1767904
 -0.16562505 -0.15331309 -0.13976875 -0.12497455 -0.10905579 -0.09220994
 -0.07462628 -0.05646785 -0.03788232 -0.01901234  0.        ]"
"(7.5710915910910686, 0)","(7.5710915910910686, 0.13665895602357747)",[5.26581809 1.        ],[    0 -7519],"[ 0.         -0.01389994 -0.02773447 -0.04143817 -0.05494566 -0.0681915
 -0.0811103  -0.09363664 -0.10570512 -0.11725033 -0.12820684 -0.13850926
 -0.14809216 -0.15689016 -0.16483797 -0.17187051 -0.17792306 -0.18293043
 -0.18682361 -0.18952169 -0.19092353 -0.19092158 -0.18946399 -0.18660953
 -0.18247254 -0.17715873 -0.1707536  -0.16331852 -0.15490138 -0.14580689
 -0.13629368 -0.12480046 -0.11230088 -0.09952923 -0.08629773 -0.07259344
 -0.0585141  -0.04413977 -0.02954704 -0.01480962  0.        ]"
"(8.464240094821353, 0)","(8.464240094821353, 0.4478224548361861)",[2.21221636 1.        ],[    0 -9640],"[ 0.         -0.01532703 -0.0305174  -0.04543475 -0.05994308 -0.07390588
 -0.08718169 -0.09961382 -0.11101962 -0.12120818 -0.13005999 -0.13759747
 -0.1439144  -0.14909635 -0.15320291 -0.15627843 -0.15836233 -0.15949347
 -0.15971114 -0.1590549  -0.15756446 -0.15527954 -0.15223988 -0.14848522
 -0.14405532 -0.13898993 -0.1333287  -0.12711077 -0.12037365 -0.11315223
 -0.10548307 -0.0974256  -0.08910278 -0.0808636  -0.07011806 -0.05880436
 -0.0472678  -0.03560359 -0.02381312 -0.01192951  0.        ]"
"(2.3192801181259766, 0)","(2.3192801181259766, 0.39605200858575096)",[3.35611866 1.        ],[    0 -8385],"[ 0.         -0.02025185 -0.04040013 -0.06033966 -0.07996005 -0.09913994
 -0.11775404 -0.1357441  -0.15327805 -0.17119597 -0.18178878 -0.19012804
 -0.19701314 -0.2026928  -0.20690343 -0.20965529 -0.21107548 -0.21127146
 -0.21031638 -0.20826538 -0.20516796 -0.20107307 -0.1960301  -0.1900888
 -0.18329905 -0.17571075 -0.16737382 -0.15833817 -0.14865372 -0.13837038
 -0.12753804 -0.11620662 -0.10442602 -0.09224616 -0.07971695 -0.06688828
 -0.05381007 -0.04053223 -0.02710467 -0.01357729  0.        ]"
"(1.8470316641509243, 0)","(1.8470316641509243, 0.21350841340649113)",[4.27615054 1.        ],[    0 -3234],"[ 0.         -0.00676135 -0.01348732 -0.02014081 -0.02668074 -0.03307572
 -0.03935654 -0.04567006 -0.05090124 -0.05565988 -0.06015877 -0.06436451
 -0.06818146 -0.07157918 -0.07452909 -0.0769934  -0.07892374 -0.08026814
 -0.08099831 -0.0811336  -0.08071728 -0.0797899  -0.0783833  -0.07652419
 -0.07423765 -0.07154857 -0.06848196 -0.06506295 -0.06131671 -0.05726839
 -0.05294319 -0.04836627 -0.0435628  -0.03855795 -0.03337691 -0.02804483
 -0.0225869  -0.01702827 -0.01139414 -0.00570965  0.        ]"
"(7.954971859338137, 0)","(7.954971859338137, 0.12802256437489737)",[5.71737563 1.        ],[    0 -4676],"[ 0.         -0.00816897 -0.01630154 -0.02436133 -0.03231192 -0.04011694
 -0.04773997 -0.05514463 -0.06229453 -0.06915325 -0.07568442 -0.08185163
 -0.08761849 -0.0929486  -0.09780555 -0.10215297 -0.10595454 -0.10917406
 -0.11177557 -0.11372282 -0.11497716 -0.11549257 -0.11521044 -0.11406819
 -0.11203779 -0.10916003 -0.10550893 -0.10115459 -0.09614695 -0.09052272
 -0.08447548 -0.07816462 -0.07064046 -0.06250713 -0.05421725 -0.04565983
 -0.03683245 -0.02779984 -0.01861597 -0.00933266  0.        ]"
